dd_metric,n_experiments,mean_dbd_o2_gmv_lift_pct,mean_dd_lift_pct,wald
consumers_mau,41,1.3186,0.0012,0.0009
dsmp_gov,4,0.7697,-0.0048,-0.0062
o1_order_rate,23,1.3767,0.0119,0.0087
o1_order_rate_7d,28,1.6131,0.0031,0.0019
o1_order_rate_14d,4,2.8363,0.1329,0.0469
o1_subtotal,46,1.3136,0.0043,0.0033
o1_aov,46,1.3136,0.005,0.0038
o1_gmv,46,1.3136,0.0046,0.0035
o1_vp,46,1.3136,-0.0052,-0.004
o1_vp_per_cx,45,1.2898,0.0117,0.0091
active_share_7d,13,1.5226,-0.021,-0.0138
consumer_order_frequency_l_28_d,27,1.4894,0.0608,0.0408
consumers_order_frequency_l_28_d,1,0.5614,0.0379,0.0675
